AnimeName,Rating,TypeName
Evangelion: 3.0+1.0,0,Movie
Cencoroll 2,0,Movie
Mahou Shoujo Lyrical Nanoha Reflection,0,Movie
Aoki Uru,0,Movie
Mint,0,Movie
Trick or Alice,0,OVA
Tsubuв…Doll,0,OVA
Gyakusatsu Kikan,0,Movie
Fate/stay night Movie: Heaven&#039;s Feel,0,Movie
Shingeki no Kyojin Season 2,0,TV
Sword Gai (TV),0,TV
Choujikuu Robo Meguru,0,OVA
Chain Chronicle: Haecceitas no Hikari,0,TV
6HP (Six Hearts Princess),0,TV
Shishou Series,0,TV
Kantai Collection: KanColle Zoku-hen,0,TV
ChГ¤oS;Child,0,TV
Gundam Build Fighters OVA,0,OVA
Pop in Q,0,Movie
Saenai Heroine no Sodatekata в™­,0,TV
Shingeki no Bahamut: Virgin Soul,0,TV
Fairy Tail Movie 2,0,Movie
Minami Kamakura Koukou Joshi Jitensha-bu,0,TV
Minna Atsumare! Falcom Gakuen 3rd Season,0,TV
Shingeki no Bahamut: Manaria Friends,0,TV
Granblue Fantasy The Animation,0,TV
Kuroko no Basket: Last Game,0,Movie
Dragon Nest: Throne of Elves,0,Movie
Sword Art Online Movie: Ordinal Scale,0,Movie
Kizumonogatari III: Reiketsu-hen,0,Movie
Yowamushi Pedal: New Generation,0,TV
Kuroshitsuji Movie: Book of the Atlantic,0,Movie
Biohazard: Vendetta,0,Movie
Full Metal Panic! IV,0,TV
Utakata Overdrive,0,OVA
Blame! Movie,0,Movie
Kemushi no Boro,0,Movie
Closers: Side Blacklambs,0,ONA
Ensemble Stars!,0,TV
Youkai Watch Movie 3: Soratobu Kujira to Double Se,0,Movie
Renai Boukun,0,TV
Dies Irae,0,TV
Clockwork Planet,0,TV
Nora to Oujo to Noraneko Heart,0,TV
The Snack World (TV),0,TV
Youjo Senki,0,TV
Chou Shounen Tanteidan Neo,0,TV
Senki Zesshou Symphogear 4th Season,0,TV
Senki Zesshou Symphogear 5th Season,0,TV
Д“lDLIVE,0,TV
Dungeon ni Deai wo Motomeru no wa Machigatteiru Da,0,TV
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu S,0,Movie
Eromanga-sensei,0,TV
Urara Meirochou,0,TV
Gin no Guardian,0,TV
Kono Subarashii Sekai ni Shukufuku wo! 2,0,TV
Kuzu no Honkai,0,TV
Rokudenashi Majutsu Koushi to Akashic Records,0,TV
Hand Shakers,0,TV
Island,0,TV
Super Lovers OVA,0,OVA
Touken Ranbu,0,TV
Reikenzan: Hoshikuzu-tachi no Utage 2nd Season,0,TV
FLCL (TV),0,TV
Infini-T Force,0,TV
Yuyushiki Special,0,Special
Suki ni Naru Sono Shunkan wo.: Kokuhaku Jikkou Iin,0,Movie
Fate/Extra Last Encore,0,TV
Fate/stay night Movie: Heaven&#039;s Feel 2,0,Movie
Fate/stay night Movie: Heaven&#039;s Feel 3,0,Movie
Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,0,OVA
Bungou Stray Dogs OVA,0,OVA
Kemono Friends,0,TV
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-h,0,TV
Kishibe Rohan wa Ugokanai,0,OVA
Fukumenkei Noise,0,TV
Hirune Hime: Shiranai Watashi no Monogatari,0,Movie
Kobayashi-san Chi no Maid Dragon,0,TV
Tantei Opera Milky Holmes: Fun Fun Party Nightв™Є ,0,Special
ACCA: 13-ku Kansatsu-ka,0,TV
Cardcaptor Sakura: Clear Card-hen,0,TV
Starmyu 2nd Season,0,TV
Atom: The Beginning,0,TV
Charanpo Shima no Monogatari,0,Movie
Genba no Joukitsune,0,Movie
Zunda Horizon,0,Movie
Red Ash The Animation: Magicicada,0,Movie
Haikara-san ga Tooru Movie,0,Movie
Super Lovers 2,0,TV
Piace: Watashi no Italian,0,TV
Gakuen Handsome Special,0,Special
Tokyo Futago Athletic,0,ONA
Boku no Hero Academia 2nd Season,0,TV
Masamune-kun no Revenge,0,TV
Little Witch Academia (TV),0,TV
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Su,0,TV
Ao no Exorcist: Kyoto Fujouou-hen,0,TV
Koutetsujou no Kabaneri Soushuuhen 1: Tsudou Hikar,0,Movie
Koutetsujou no Kabaneri Soushuuhen 2: Moeru Inochi,0,Movie
Kaitou Tenshi Twin Angel (TV),0,TV
Armed Blue: Gunvolt,0,OVA
BanG Dream!,0,TV
Trinity Seven Movie: Eternity Library to Alchemic ,0,Movie
Doraemon Movie 37: Nobita no Nankyoku Kachikochi D,0,Movie
No Game No Life Movie,0,Movie
Saiyuuki Reload Blast,0,TV
Chain Chronicle: Haecceitas no Hikari Part 2,0,Movie
Chain Chronicle: Haecceitas no Hikari Part 3,0,Movie
Gabriel DropOut,0,TV
Inazuma Eleven: Ares no Tenbin,0,TV
Locker Room,0,ONA
After School,0,ONA
Megaton-kyuu Musashi,0,TV
Fuuka,0,TV
Godzilla,0,Movie
Marginal#4: Kiss kara Tsukuru Big Bang,0,TV
ID-0,0,OVA
Amanchu! Special,0,Special
Ao Oni The Animation (Movie),0,Movie
Sin: Nanatsu no Taizai,0,TV
Seiren,0,TV
Alice in Deadly School,0,TV
Kabukibu!,0,TV
Nil Admirari no Tenbin: Teito Genwaku Kitan,0,TV
Mekakucity Reload,0,TV
Saredo Tsumibito wa Ryuu to Odoru,0,TV
Hinako Note,0,TV
Oshiete! Galko-chan (OVA),0,OVA
Onihei,0,TV
Demi-chan wa Kataritai,0,TV
Days OVA,0,OVA
Hatsukoi Monster OVA,0,OVA
Tsugumomo,0,TV
Lupin the IIIrd: Chikemuri no Ishikawa Goemon,0,Movie
Whistle! (ONA),0,ONA
Idol Jihen,0,TV
King of Prism: Pride the Hero,0,Movie
Akiba&#039;s Trip The Animation,0,TV
Berserk (2017),0,TV
Uchouten Kazoku 2,0,TV
Tales of Zestiria the X (2017),0,TV
Chiruran: Nibun no Ichi,0,TV
Gintama (2017),0,TV
Fate/kaleid liner Prismaв†Illya Movie,0,Movie
Sakurada Reset,0,TV
Knight&#039;s &amp; Magic,0,TV
Kyoukai no Rinne (TV) 3rd Season,0,TV
High School Fleet OVA,0,OVA
One Punch Man 2,0,TV
Nyanko Days,0,TV
Landreaall,0,OVA
Overlord Movie,0,Movie
Hataraku Otona no Renai Jijou The Animation,0,OVA
Zero kara Hajimeru Mahou no Sho,0,TV
Tenshi no 3P!,0,TV
Kamisama Minarai: Himitsu no Cocotama Movie,0,Movie
Escha Chron,0,TV
Mori no Yousei: Kinoko no Musume,0,TV
Crayon Shin-chan Movie 25: Shin-chan Shuurai! Uchu,0,Movie
Cinderella Girls Gekijou,0,TV
Ninja Bear,0,TV
New Game!: Watashi, Shain Ryokou tte Hajimete nano,0,OVA
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou,0,TV
Schoolgirl Strikers: Animation Channel,0,TV
Digimon Adventure tri. 4: Soushitsu,0,Movie
Nananin no Ayakashi: Chimi Chimi Mouryou!! Gendai ,0,TV
Tamagotchi Movie: Tanpen Himitsu no Otodoke Daisak,0,Movie
Saimin Class,0,OVA
Shimajirou to Niji no Oasis,0,Movie
Fate/Grand Order: First Order,0,Special
Finis,0,TV
Dam Keeper no Nakama-tachi,0,ONA
Alice to Zouroku,0,TV
Kyonyuu Reijou MC Gakuen,0,OVA
Netsuzou TRap,0,TV
Shikkoku no Shaga The Animation,0,OVA
Mobile Suit Gundam Thunderbolt 2nd Season,0,ONA
One Room,0,TV
Room Mate: One Room Side M,0,TV
Taimanin Asagi 3,0,OVA
Hajimete no Gal,0,TV
The Snack World: Hitogirai no Renny,0,Movie
Frame Arms Girl,0,TV
Detective Conan Movie 21: Deep Red Love Letter,0,Movie
Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,0,TV
THE REFLECTION,0,TV
Kekkai Sensen &amp; Beyond,0,TV
Sentai Hero Sukiyaki Force,0,TV
Sagurare Otome The Animation,0,OVA
Nuki Doki! Tenshi to Akuma no Sakusei Battle - Rev,0,OVA
Sakura Quest,0,TV
Death March kara Hajimaru Isekai Kyousoukyoku,0,TV
Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru,0,Movie
Kenka Banchou Otome: Girl Beats Boys,0,TV
Inazma Delivery,0,TV
Ao no Exorcist OVA,0,OVA
Yami Shibai 4th Season,0,TV
Youkai Watch Movie 4,0,Movie
Tsukipro The Animation,0,TV
Gan Gan Ganko-chan,0,TV
Idol Kyousei Sousa,0,OVA
Wake Up, Girls! Shin Shou,0,TV
Centaur no Nayami,0,TV
Gou-chan. Moko to Chinjuu no Mori no Nakama-tachi,0,Movie
Platonic Chain: Ansatsu Jikkouchuu,167,Special
